year,rank,title,artist,lyrics_raw,lyrics_url,lyrics_clean,lines,tokens,vader,fk_grade,ttr,repetition_ratio,compressibility,is_top5
1959,19,My Heart Is an Open Book,Carl Dobkins Jr.,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,20,(Till) I Kissed You,The Everly Brothers,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,21,Sea of Love,Phil Phillips,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,22,The Happy Organ,Dave Cortez,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,23,I'm Gonna Get Married,Lloyd Price,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,24,Sorry (I Ran All the Way Home),The Impalas,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,25,A Teenager in Love,Dion and the Belmonts,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,26,16 Candles,The Crests,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,27,It's Just a Matter of Time,Brook Benton,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,28,Lipstick on Your Collar,Connie Francis,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,29,There Goes My Baby,The Drifters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,30,A Big Hunk o' Love,Elvis Presley,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,31,Red River Rock,Johnny and the Hurricanes,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,32,Waterloo,Stonewall Jackson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,33,Lavender Blue,Sammy Turner,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,34,(Now and Then There's) A Fool Such as I,Elvis Presley,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,35,Guitar Boogie Shuffle,The Virtues,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,36,Teen Beat,Sandy Nelson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,37,"Kookie, Kookie (Lend Me Your Comb)",Edd Byrnes & Connie Stevens,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,38,Tragedy,Thomas Wayne,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,39,My Happiness,Connie Francis,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,40,Tallahassee Lassie,Freddy Cannon,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,41,Tiger,Fabian,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,42,Never Be Anyone Else But You,Ricky Nelson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,43,Don't You Know?,Della Reese,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,44,I Need Your Love Tonight,Elvis Presley,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,45,What a Diff'rence a Day Makes,Dinah Washington,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,46,The All American Boy,Bobby Bare,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,47,Primrose Lane,Jerry Wallace,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,48,Alvin's Harmonica,The Chipmunks,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,49,Lonely Street,Andy Williams,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,50,What'd I Say,Ray Charles,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,51,Broken Hearted Melody,Sarah Vaughan,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,52,Only You (And You Alone),Franck Pourcel,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,53,Gotta Travel On,Billy Grammer,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,54,Poison Ivy,The Coasters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,55,Turn Me Loose,Fabian,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,56,Lonely Teardrops,Jackie Wilson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,57,Hawaiian Wedding Song,Andy Williams,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,58,Forty Miles of Bad Road,Duane Eddy,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,59,Just Ask Your Heart,Frankie Avalon,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,60,Tell Him No,Travis and Bob,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,61,Frankie,Connie Francis,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,62,I've Had It,The Bell Notes,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,63,I Cried a Tear,LaVern Baker,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,64,Enchanted,The Platters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,65,Since I Don't Have You,The Skyliners,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,66,Peter Gunn Theme,Ray Anthony,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,67,The Chipmunk Song (Christmas Don't Be Late),The Chipmunks,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,68,I Want to Walk You Home,Fats Domino,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,69,So Fine,The Fiestas,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,70,Bobby Sox to Stockings,Frankie Avalon,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,71,The Deck of Cards,Wink Martindale,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,72,A Lover's Question,Clyde McPhatter,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,73,I Only Have Eyes for You,The Flamingos,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,74,It's Late,Ricky Nelson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,75,Petite Fleur,Chris Barber's Jazz Band,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,76,Tall Paul,Annette Funicello,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,77,The Tijuana Jail,The Kingston Trio,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,78,Just a Little Too Much,Ricky Nelson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,79,Goodbye Baby,Jack Scott,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,80,Along Came Jones,The Coasters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,81,Three Stars,Tommy Dee & Carol Kay,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,82,A Boy Without a Girl,Frankie Avalon,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,83,Sweeter Than You,Ricky Nelson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,84,It Was I,Skip & Flip,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,85,"Goodbye Jimmy, Goodbye",Kathy Linden,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,86,Manhattan Spiritual,Reg Owen Orchestra,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,87,Endlessly,Brook Benton,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,88,Heartaches by the Number,Guy Mitchell,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,89,Sea Cruise,Frankie Ford,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,90,That's Why (I Love You So),Jackie Wilson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1959,91,You're So Fine,The Falcons,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
