metric,n,slope,r2,p
entropy,20,0.008257939855358094,0.21533796265860167,0.039297489889987505
hhi,20,-0.00016273254151800997,0.10280037904685624,0.16812214306937567
max_p,20,-0.00038891650131368664,0.1599474212240754,0.08060827810080509
