year,rank,title,artist,lyrics_raw,lyrics_url,total,ttr,entropy,hhi,max_p
1960,1,Theme from A Summer Place,Percy Faith,"There's A Summer Place
Where It May Rain Or Storm
Yet I'm Safe And Warm
For Within That Summer Place
Your Arms Reach Out To Me
And My Heart Is Free From All Care
For It Knows
There Are No Gloomy Skies
When Seen Through The Eyes
Of Those Who Are Blessed With Love
And The Sweet Secret Of
A Summer Place
Is That It's Anywhere
When Two People Share
All Their Hopes
All Their Dreams
All Their Love
There's A Summer Place
Where It May Rain Or Storm
Yet I'm Safe And Warm
In Your Arms, In Your Arms
In Your Arms, In Your Arms
In Your Arms, In Your Arms",,112,0.5267857142857143,3.8701522839304556,0.026147959183673453,0.0625
1960,2,He'll Have to Go,Jim Reeves,"Put your sweet lips a little closer to the phone
Let's pretend that we're together, all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you he'll have to go

Whisper to me, tell me do you love me true
Or is he holding you the way I do?
Though love is blind, make up your mind, I've got to know
Should I hang up, or will you tell him he'll have to go?

You can't say the words I want to hear
While you're with another man
Do you want me, answer yes or no
Darling, I will understand

Put your sweet lips a little closer to the phone
Let's pretend that we're together, all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you he'll have to go",,152,0.45394736842105265,4.007384186795076,0.023718836565096928,0.06578947368421052
1960,3,Cathy's Clown,The Everly Brothers,"Don't want your love any more
Don't want your kisses, that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown

I've got to stand tall, you know a man can't crawl
For when he knows you're telling lies
And he hears them passing by
He's not a man at all

Don't want your love any more
Don't want your kisses, that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown

When you see me shed a tear
And you know that it's sincere
Don't you think it's kind of sad, that you're treating me so bad?
Or don't you even care?

Don't want your love any more
Don't want your kisses , that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown
That's Cathy's clown, that's Cathy's clown",,148,0.4189189189189189,3.8847283216580326,0.025200876552227865,0.05405405405405406
1960,4,Running Bear,Johnny Preston,"On the bank of the river
Stood Running Bear, young Indian brave
On the other side of the river
Stood his lovely Indian maid

Little White Dove was her name
Such a lovely sight to see
But their tribes fought with each other
So their love could never be

Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die

He couldn't swim the raging river
'Cause the river was too wide
He couldn't reach Little White Dove
Waiting on the other side

In the moonlight, he could see her
Throwing kisses 'cross the waves
Her little heart was beating faster
Waiting there for her Indian brave

Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die

Running Bear dove in the water
Little White Dove did the same
And they swam out to each other
Through the swirling stream they came

As their hands touched and their lips met
The raging river pulled them down
Now they'll always be together
In their happy hunting ground

Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die",,220,0.39545454545454545,4.030972264945021,0.02673553719008267,0.07272727272727272
1960,5,Teen Angel,Mark Dinning,"Teen Angel
Teen Angel
Teen Angel

That fateful night the car was stalled
Upon the railroad track
I pulled you out and we were safe
But you went running back

Teen angel
Can you hear me?
Teen angel
Can you see me?
Are you somewhere up above?
And am I still your own true love?

What was it you were looking for
That took your life that night
They said they found my high school ring
Clutched in your fingers tight

Teen angel
Can you hear me?
Teen angel
Can you see me?
Are you somewhere up above?
And am I still your own true love?

Just sweet sixteen, and now you're gone
They've taken you away
I'll never kiss your lips again
They buried you today

Teen angel
Can you hear me?
Teen angel
Can you see me?
Are you somewhere up above?
And am I still your own true love?

Teen angel
Teen angel
Answer me please",,159,0.4591194968553459,3.8940211392573696,0.030892765317827663,0.0880503144654088
1961,1,Tossin' and Turnin,Bobby Lewis,"Baby!
Baby
You did something to me

I couldn't sleep at all last night
Just a-thinkin' of you
Baby, things weren't right

Well, I was tossin' and turnin'
Turnin' and tossin'
Tossin' and turnin' all night

I kicked the blankets on the floor
Turned my pillow upside down
I never, never did before

Because I was tossin' and turnin'
Turnin' and tossin'
Tossin' and turnin' all night

Jumped out of bed
Turned on the light
I pulled down the shade
Went to the kitchen for a bite

Rolled up the shade
Turned off the light
I jumped back into bed
It was the middle of the night

The clock downstairs was strikin' four
Couldn't get you off my mind
I heard the milkman at the door

'Cause I was tossin' and turnin'
Turnin' and tossin'
Tossin' and turnin' all night

Jumped outta bed
Turned on the light
I pulled down the shade
Went to the kitchen for a bite

Rolled up the shade
Turned off the light
I jumped back into bed
It was the middle of the night

The clock downstairs was strikin' four
I couldn't get you off my mind
I heard the milkman at the door

'Cause I was tossin' and turnin'
Turnin' and tossin'
A-tossin' and turnin' all day, day, day
I was tossin' and turnin'
Turnin' and tossin'...",,225,0.29777777777777775,3.777447349872439,0.035061728395061664,0.09777777777777778
1961,2,I Fall to Pieces,Patsy Cline,"I fall to pieces
Each time I see you again
I fall to pieces
How can I be just your friend?

You want me to act like we've never kissed
You want me to forget, pretend we've never met
And I've tried and I've tried but I haven't yet
You walk by and I fall to pieces

I fall to pieces
Each time someone speaks your name
I fall to pieces
Time only adds to the flame

You tell me to find someone else to love
Someone who'll love me, too, the way you used to do
But each time I go out with someone new
You walk by and I fall to pieces
You walk by and I fall to pieces",,122,0.4344262295081967,3.5692149314696326,0.041655468959957066,0.10655737704918032
1961,3,Michael,The Highwaymen,"(Michael, row the boat ashore, hallelujah)
(Michael, row the boat ashore, hallelujah)

Sister, help to trim the sails (Hallelujah)
Sister, help to trim the sails (Hallelujah)

(Michael, row the boat ashore, hallelujah)
(Michael, row the boat ashore, hallelujah)

The River Jordan is chilly and cold (Hallelujah)
Chills the body but not the soul (Hallelujah)

(Michael, row the boat ashore, hallelujah)
(Michael, row the boat ashore, hallelujah)

River is deep and the river is wide (Hallelujah)
Milk and honey on the other side (Hallelujah)

(Michael, row the boat ashore, hallelujah)
(Michael, row the boat ashore, hallelujah)",,41,0.5853658536585366,2.971124421631537,0.06603212373587149,0.17073170731707318
1961,4,Crying,Roy Orbison,"I was alright for a while
I could smile for a while
But I saw you last night
You held my hand so tight
As you stopped to say, ""Hello""

Oh, you wished me well
You couldn't tell
That I'd been crying over you
Crying over you
When you said, ""So long""
Left me standing all alone
Alone and crying, crying
Crying, crying

It's hard to understand
But the touch of your hand
Can start me crying

I thought that I was over you
But it's true, so true
I love you even more
Than I did before
But, darling, what can I do?

For you don't love me
And I'll always be
Crying over you
Crying over you
Yes, now you're gone
And from this moment on
I'll be crying, crying
Crying, crying

Yeah, I'm crying, crying
Over you",,140,0.5428571428571428,3.9134043013798383,0.03500000000000004,0.10714285714285714
1961,5,Runaway,Del Shannon,"As I walk along I wonder
A-what went wrong with our love
A love that was so strong
And as I still walk on
I think of the things we've done together
A-while our hearts were young

I'm a-walkin' in the rain
Tears are fallin' and I feel the pain
Wishin' you were here by me
To end this misery
And I wonder
I wah-wah-wah-wah-wonder
Why
Why, why, why, why, why she ran away
And I wonder
A-where she will stay-ay
My little runaway
A-run, run, run, run, runaway

I'm a-walkin' in the rain
Tears are fallin' and I feel the pain
Wishin' you were here by me
To end this misery
I wonder
I wah-wah-wah-wah-wonder
Why
Why, why, why, why, why she ran away
And I wonder
A-where she will stay-ay

My little runaway
A-run, run, run, run, runaway
A-run, run, run, run, runaway
A-run, run, run, run, runaway",,170,0.3588235294117647,3.7204391495460594,0.035986159169550155,0.09411764705882353
