metric,n,slope,r2,p
ttr,67,-0.0009642951763524884,0.03989238724125971,0.10513044452764332
entropy,67,0.0044649045296972795,0.02971307273638369,0.1630575798777047
hhi,67,0.0007525766233440945,0.02107893508612279,0.2410940608063403
max_p,67,0.0006500323455302676,0.017416781212549665,0.28706674297336904
