year,rank,title,artist
1988,99,Down Bad,Taylor Swift
1988,100,Dance The Night,Dua Lipa
1989,1,Lose Control,Teddy Swims
1989,2,A Bar Song (Tipsy),Shaboozey
1989,3,Beautiful Things,Benson Boone
1989,4,I Had Some Help,Post MaloneFeaturingMorgan Wallen
1989,5,Lovin On Me,Jack Harlow
1989,6,Not Like Us,Kendrick Lamar
1989,7,Espresso,Sabrina Carpenter
1989,8,Million Dollar Baby,Tommy Richman
1989,9,I Remember Everything,Zach BryanFeaturingKacey Musgraves
1989,10,Too Sweet,Hozier
1989,11,Stick Season,Noah Kahan
1989,12,Cruel Summer,Taylor Swift
1989,13,Greedy,Tate McRae
1989,14,Like That,"Future,Metro Boomin&Kendrick Lamar"
1989,15,Birds Of A Feather,Billie Eilish
1989,16,Please Please Please,Sabrina Carpenter
1989,17,Agora Hills,Doja Cat
1989,18,"Good Luck, Babe!",Chappell Roan
1989,19,Saturn,SZA
1989,20,Snooze,SZA
1989,21,Paint The Town Red,Doja Cat
1989,22,Fortnight,Taylor SwiftFeaturingPost Malone
1989,23,Fast Car,Luke Combs
1989,24,Water,Tyla
1989,25,Feather,Sabrina Carpenter
1989,26,We Can't Be Friends (Wait For Your Love),Ariana Grande
1989,27,Austin,Dasha
1989,28,Last Night,Morgan Wallen
1989,29,Cowgirls,Morgan WallenFeaturingERNEST
1989,30,Pink Skies,Zach Bryan
1989,31,Thinkin' Bout Me,Morgan Wallen
1989,32,Texas Hold 'Em,Beyonce
1989,33,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
1989,34,Miles On It,Marshmello &Kane Brown
1989,35,I Can Do It With A Broken Heart,Taylor Swift
1989,36,Wild Ones,jessie murph&Jelly Roll
1989,37,Ain't No Love In Oklahoma,Luke Combs
1989,38,Carnival,¥$: Ye &Ty Dolla $ignFeaturingRich The Kid&Playboi Carti
1989,39,Houdini,Eminem
1989,40,Wanna Be,Glorilla&Megan Thee Stallion
1989,41,Slow It Down,Benson Boone
1989,42,Redrum,21 Savage
1989,43,Houdini,Dua Lipa
1989,44,Yeah Glo!,Glorilla
1989,45,Rich Baby Daddy,DrakeFeaturingSexyy Red&SZA
1989,46,What Was I Made For?,Billie Eilish
1989,47,End Of Beginning,Djo
1989,48,Lunch,Billie Eilish
1989,49,Never Lose Me,Flo Milli
1989,50,Lies Lies Lies,Morgan Wallen
1989,51,Type Shit,"Future,Metro Boomin,Travis Scott&Playboi Carti"
1989,52,Gata Only,FloyyMenor X Cris Mj
1989,53,Hot To Go!,Chappell Roan
1989,54,All I Want For Christmas Is You,Mariah Carey
1989,55,Get It Sexyy,Sexyy Red
1989,56,Made For Me,muni long
1989,57,Vampire,Olivia Rodrigo
1989,58,Whatever She Wants,Bryson Tiller
1989,59,Rockin' Around The Christmas Tree,Brenda Lee
1989,60,Pretty Little Poison,Warren Zeiders
1989,61,First Person Shooter,DrakeFeaturingJ. Cole
1989,62,Die With A Smile,Lady Gaga&Bruno Mars
1989,63,I Like The Way You Kiss Me,Artemas
1989,64,Need A Favor,Jelly Roll
1989,65,Save Me,Jelly RollWithLainey Wilson
1989,66,Euphoria,Kendrick Lamar
1989,67,Truck Bed,HARDY
1989,68,Jingle Bell Rock,Bobby Helms
1989,69,Flowers,Miley Cyrus
1989,70,Where The Wild Things Are,Luke Combs
1989,71,Everybody,Nicki MinajFeaturingLil Uzi Vert
1989,72,La Diabla,Xavi
1989,73,Stargazing,Myles Smith
1989,74,Last Christmas,Wham!
1989,75,I Am Not Okay,Jelly Roll
1989,76,Pour Me A Drink,Post MaloneFeaturingBlake Shelton
1989,77,White Horse,Chris Stapleton
1989,78,Lil Boo Thang,Paul Russell
1989,79,Good Good,"Usher,Summer Walker&21 Savage"
1989,80,Act II: Date @ 8,4batz FeaturingDrake
1989,81,High Road,Koe Wetzel&jessie murph
1989,82,Monaco,Bad Bunny
1989,83,IDGAF,DrakeFeaturing Yeat
1989,84,Burn It Down,Parker McCollum
1989,85,Fukumean,Gunna
1989,86,Taste,Sabrina Carpenter
1989,87,Where It Ends,Bailey Zimmerman
1989,88,FTCU,Nicki Minaj
1989,89,Wildflower,Billie Eilish
1989,90,World On Fire,Nate Smith
1989,91,On My Mama,Victoria Monet
1989,92,"Yes, And?",Ariana Grande
1989,93,Exes,Tate McRae
1989,94,A Holly Jolly Christmas,Burl Ives
1989,95,Wind Up Missin' You,Tucker Wetmore
1989,96,Bulletproof,Nate Smith
1989,97,FE!N,Travis ScottFeaturingPlayboi Carti
1989,98,The Painter,Cody Johnson
1989,99,Down Bad,Taylor Swift
1989,100,Dance The Night,Dua Lipa
