year,rank,title,artist,match_score,source_label
1993,2,Whoomp! (There It Is),Tag Team,100.0,meta_pos:1993-2
1993,3,Can't Help Falling in Love,UB40,100.0,meta_pos:1993-3
1993,4,That's the Way Love Goes,Janet Jackson,100.0,meta_pos:1993-4
1993,5,Freak Me,Silk,100.0,meta_pos:1993-5
1994,1,The Sign,Ace of Base,100.0,meta_pos:1994-1
1994,2,I Swear,All-4-One,100.0,meta_pos:1994-2
1994,3,I'll Make Love to You,Boyz II Men,100.0,meta_pos:1994-3
1994,4,The Power of Love,Celine Dion,100.0,meta_pos:1994-4
1994,5,Hero,Mariah Carey,100.0,meta_pos:1994-5
1995,1,Gangsta's Paradise,Coolio featuring L.V.,100.0,meta_pos:1995-1
1995,2,Waterfalls,TLC,100.0,meta_pos:1995-2
1995,3,Creep,TLC,100.0,meta_pos:1995-3
1995,4,Kiss from a Rose,Seal,100.0,meta_pos:1995-4
1995,5,On Bended Knee,Boyz II Men,100.0,meta_pos:1995-5
1996,1,Macarena (Bayside Boys Mix),Los del Río,90.0,meta_pos:1996-1
1996,2,One Sweet Day,Mariah Carey and Boyz II Men,100.0,meta_pos:1996-2
1996,3,Because You Loved Me,Celine Dion,100.0,meta_pos:1996-3
1996,4,Nobody Knows,The Tony Rich Project,100.0,meta_pos:1996-4
1996,5,Always Be My Baby,Mariah Carey,100.0,meta_pos:1996-5
1997,1,"Candle in the Wind 1997"" / ""Something About the Way You Look Tonight",Elton John,66.66666666666666,fallback_pool
1997,2,"You Were Meant for Me"" / ""Foolish Games",Jewel,-1.0,
1997,3,I'll Be Missing You,Puff Daddy and Faith Evans featuring 112,92.85714285714286,meta_pos:1997-3
1997,4,Un-Break My Heart,Toni Braxton,100.0,meta_pos:1997-4
1997,5,Can't Nobody Hold Me Down,Puff Daddy featuring Mase,90.9090909090909,meta_pos:1997-5
1998,1,Too Close,Next,100.0,meta_pos:1998-1
1998,2,The Boy Is Mine,Brandy and Monica,100.0,meta_pos:1998-2
1998,3,You're Still the One,Shania Twain,100.0,meta_pos:1998-3
1998,4,Truly Madly Deeply,Savage Garden,100.0,meta_pos:1998-4
1998,5,How Do I Live,LeAnn Rimes,100.0,meta_pos:1998-5
1999,1,Believe,Cher,100.0,meta_pos:1999-1
1999,2,No Scrubs,TLC,100.0,meta_pos:1999-2
1999,3,Angel of Mine,Monica,100.0,meta_pos:1999-3
1999,4,Heartbreak Hotel,Whitney Houston featuring Faith Evans and Kelly Price,100.0,meta_pos:1999-4
1999,5,...Baby One More Time,Britney Spears,100.0,meta_pos:1999-5
2000,1,Breathe,Faith Hill,100.0,meta_pos:2000-1
2000,2,Smooth,Santana featuring Rob Thomas,100.0,meta_pos:2000-2
2000,3,Maria Maria,Santana featuring The Product G&B,100.0,meta_pos:2000-3
2000,4,I Wanna Know,Joe,100.0,meta_pos:2000-4
2000,5,Everything You Want,Vertical Horizon,100.0,meta_pos:2000-5
2001,1,Hanging by a Moment,Lifehouse,100.0,meta_pos:2001-1
2001,2,Fallin,Alicia Keys,97.29729729729729,meta_pos:2001-2
2001,3,All for You,Janet Jackson,100.0,meta_pos:2001-3
2001,4,Drops of Jupiter (Tell Me),Train,100.0,meta_pos:2001-4
2001,5,I'm Real (Murder Remix),Jennifer Lopez featuring Ja Rule,100.0,meta_pos:2001-5
2002,1,How You Remind Me,Nickelback,100.0,meta_pos:2002-1
2002,2,Foolish,Ashanti,100.0,meta_pos:2002-2
2002,3,Hot in Herre,Nelly,100.0,meta_pos:2002-3
2002,4,Dilemma,Nelly featuring Kelly Rowland,100.0,meta_pos:2002-4
2002,5,Wherever You Will Go,The Calling,100.0,meta_pos:2002-5
2003,1,In da Club,50 Cent,100.0,meta_pos:2003-1
2003,2,Ignition,R. Kelly,100.0,meta_pos:2003-2
2003,3,Get Busy,Sean Paul,100.0,meta_pos:2003-3
2003,4,Crazy in Love,Beyoncé featuring Jay-Z,98.11320754716981,meta_pos:2003-4
2003,5,When I'm Gone,3 Doors Down,100.0,meta_pos:2003-5
2004,1,Yeah!,Usher featuring Lil Jon and Ludacris,98.41269841269842,meta_pos:2004-1
2004,2,Burn,Usher,100.0,meta_pos:2004-2
2004,3,If I Ain't Got You,Alicia Keys,100.0,meta_pos:2004-3
2004,4,This Love,Maroon 5,100.0,meta_pos:2004-4
2004,5,The Way You Move,OutKast featuring Sleepy Brown,100.0,meta_pos:2004-5
2005,1,We Belong Together,Mariah Carey,100.0,meta_pos:2005-1
2005,2,Hollaback Girl,Gwen Stefani,100.0,meta_pos:2005-2
2005,3,Let Me Love You,Mario,100.0,meta_pos:2005-3
2005,4,Since U Been Gone,Kelly Clarkson,100.0,meta_pos:2005-4
