year,mean,std,count,se
1958,0.3493477533953799,0.14799672246065235,5,0.06618614637383771
1959,0.39315855207421474,0.12137373658665912,5,0.05427998513818461
1960,0.4508452087871154,0.049830866894886146,5,0.022285041150941858
1961,0.4438501066426837,0.12091789924293121,5,0.054076128480732906
1962,0.6307896625528037,0.3379821294969301,5,0.15115020334705448
1963,0.4614146688439288,0.07377723129253835,5,0.032994180872368085
1964,0.35524187383057915,0.17644204032169614,5,0.07890727924961428
1965,0.3446738728973842,0.0676328394004303,5,0.03024632528213765
1966,0.4061318345402368,0.07097671279652225,5,0.03174175092650059
1967,0.39298062310107085,0.17011529413471757,5,0.07607787233951994
1968,0.5064635245124204,0.30066639709820236,5,0.1344621004923052
1969,0.3466297131488663,0.10633320001485443,5,0.04755365269965923
1970,0.396971039832977,0.07896730830627958,5,0.035315253874604983
1971,0.34084524785027787,0.090202301629133,5,0.04033969563393628
1972,0.4015007706374085,0.13068434660904474,5,0.05844381652259363
1973,0.32667641783090995,0.09894051707921454,5,0.04424754438362053
1974,0.42905061653977894,0.3494518787567511,5,0.15627963115302201
1975,0.4237397591668821,0.11842571914910925,5,0.05296159166034137
1976,0.2719526909214851,0.06775923309088139,5,0.030302850258892792
1977,0.4209557308888848,0.1969807620260682,5,0.08809247482999953
1978,0.3208496383756401,0.09182089286475864,5,0.04106355164006514
1979,0.34362897758337885,0.036228160417540664,5,0.016201725878677617
1980,0.29794769650652325,0.05372064113705662,5,0.02402460107546604
1981,0.39064188018557855,0.06608321399176555,5,0.029553311731450597
1982,0.28041809917503857,0.04290393158389081,5,0.019187221504716013
1983,0.2966635167124031,0.058882101460212784,5,0.02633287630461508
1984,0.33407619262294774,0.05370832665373801,5,0.0240190938711044
1985,0.28995802748932487,0.08950640660875006,5,0.04002848191978031
1986,0.3585783757795481,0.06727023518647382,5,0.030084163747870738
1987,0.3625883311109842,0.11040274083705676,5,0.049373606682790186
1988,0.25356649614379656,0.1066877071547594,5,0.04771219311232654
1989,0.291254412859549,0.08095508652750476,5,0.036204215319975606
1990,0.39286673280550233,0.10507202112127763,5,0.04698963635209409
1991,0.31672887455855514,0.058155224544889215,5,0.02600780706582731
1992,0.3251864170658675,0.09691193926040097,5,0.04334033680351745
1993,0.2859975791394231,0.07897359666459924,5,0.03531806611393891
1994,0.3375670685232887,0.0556523749381733,5,0.02488849869421223
1995,0.30077938596237713,0.08932810250284863,5,0.03994874189948772
1996,0.2969466089362617,0.0981190901514921,5,0.043880191093833294
1997,0.34582420650079826,0.09605515942115402,5,0.042957173211055945
1998,0.2664320686352092,0.052902335132467164,5,0.023658643504934383
1999,0.23557517991397986,0.06912143465477906,5,0.030912045318079135
2000,0.3246282573832061,0.04081684470714738,5,0.01825384787844681
2001,0.2900422331937114,0.06351728109501466,5,0.02840579165488301
2002,0.2840331759243999,0.058988537233012624,5,0.026380475829258714
2003,0.2602181048991664,0.05983260318379243,5,0.02675795359794604
2004,0.3269393227274306,0.0355007449475987,5,0.01587641579094258
2005,0.3009426796506875,0.07383319459613503,5,0.033019208422585614
2006,0.32633438327709663,0.07078101445141276,5,0.03165423196595078
2007,0.29366522030364334,0.026475045965052735,5,0.011840000497057886
2008,0.28355253398363406,0.06843584881838856,5,0.030605442011163095
2009,0.2856804036208847,0.08304468353421363,5,0.03713871151049183
2010,0.3160126956544867,0.07654886752945347,5,0.034233694279296865
2011,0.3255689409478525,0.05209817230103569,5,0.023299010953722485
2012,0.3122847990174952,0.047495754136548204,5,0.021240746978387723
2013,0.28797397759191834,0.09635615194939043,5,0.04309178116182717
2014,0.2961564248539824,0.09293158541440663,5,0.04156026844868824
2015,0.29756524112325267,0.06461468540474365,5,0.02889656578195406
2016,0.2876959923234616,0.022665666311239913,5,0.01013639412545187
2017,0.3218803087685258,0.11527335243867141,5,0.05155181040943208
2018,0.34657714619145397,0.07566378069370161,5,0.033837871413150596
2019,0.37825558034702,0.07513156514525682,5,0.03359985738414962
2020,0.33216721921668513,0.04613918639239174,5,0.020634071439984244
2021,0.314119552817927,0.06527198490519798,5,0.029190519054872566
2022,0.30669447949386053,0.09409487280320046,5,0.042080506384430484
2023,0.4660304842602737,0.30755105226247365,5,0.1375410118820963
2024,0.8831541218637993,0.2612753264032013,5,0.11684587813620073
