year,rank,title,artist,lyrics_raw,lyrics_url,lyrics_clean,lines,tokens,vader,fk_grade,ttr,repetition_ratio,compressibility,is_top5
1958,11,It's Only Make Believe,Conway Twitty,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,12,The Purple People Eater,Sheb Wooley,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,13,"Bird Dog"" / ""Devoted to You",The Everly Brothers,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,14,Get a Job,The Silhouettes,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,15,Little Star,The Elegants,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,16,Twilight Time,The Platters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,17,"Stood Up"" / ""Waitin' in School",Ricky Nelson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,18,He's Got the Whole World in His Hands,Laurie London,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,19,Secretly,Jimmie Rodgers,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,20,At the Hop,Danny & the Juniors,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,21,Yakety Yak,The Coasters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,22,"Wear My Ring Around Your Neck"" / ""Doncha' Think It's Time",Elvis Presley,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,23,"Rockin' Robin"" / ""Over and Over",Bobby Day,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,24,Poor Little Fool,Ricky Nelson,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,25,"A Wonderful Time Up There"" / ""It's Too Soon to Know",Pat Boone,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,26,Just a Dream,Jimmy Clanton,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,27,Sugartime,The McGuire Sisters,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
1958,28,Tom Dooley,The Kingston Trio,,,,0,0,0.0,0.0,0.0,0.0,0.0,False
