series,n,slope,r2,p
Hot100_6_100_TTR,20,-0.0019279488181203864,0.4534240689219613,
Top5_TTR,20,-0.0004249352069400367,0.0077036141116128,
Top5_minus_Hot_TTR,20,0.00150301361118035,0.06520161312847506,
